,Value.temp,Value.humid,Rain
0,86.36000061,163,1
1,85.27999878,163,1
2,85.27999878,163,1
3,85.27999878,163,1
4,85.27999878,163,1
5,85.81999969,163,1
6,86,163,1
7,85.81999969,70,0
8,85.63999939,163,1
9,85.81999969,163,1
10,85.45999908,163,1
11,85.45999908,163,1
12,85.45999908,163,1
13,85.45999908,163,1
14,85.63999939,163,1
15,85.81999969,163,1
16,86,163,1
17,86,163,1
18,86,163,1
19,85.81999969,163,1
20,86,163,1
21,86,163,1
22,86,163,1
23,86,163,1
24,86,163,1
25,86.54000092,163,1
26,86.36000061,163,1
27,86.54000092,163,1
28,86.54000092,163,1
29,86.54000092,163,1
30,86.54000092,163,1
31,86.54000092,175.8000031,1
32,85.09999847,163,1
33,85.27999878,163,1
34,85.27999878,163,1
35,85.27999878,163,1
36,85.27999878,163,1
37,85.27999878,163,1
38,85.63999939,163,1
39,85.63999939,163,1
40,85.63999939,163,1
41,85.45999908,163,1
42,85.45999908,163,1
43,85.27999878,163,1
44,85.27999878,163,1
45,85.27999878,163,1
46,85.27999878,163,1
47,85.27999878,163,1
48,85.81999969,163,1
49,85.63999939,163,1
50,85.81999969,163,1
51,85.63999939,163,1
52,85.63999939,37,0
53,85.27999878,36,0
54,85.27999878,36,0
55,85.27999878,36,0
56,85.27999878,36,0
57,85.27999878,38,0
58,85.27999878,38,0
59,85.27999878,37,0
60,85.81999969,38,0
61,85.63999939,38,0
62,85.27999878,37,0
63,85.81999969,36,0
64,85.63999939,36,0
65,85.63999939,36,0
66,85.63999939,36,0
67,85.63999939,38,0
68,85.63999939,37,0
69,3.559999943,37,0
70,3.559999943,38,0
71,3.559999943,36,0
72,59.18000031,41,0
73,59.36000061,41,0
74,59.36000061,41,0
75,59.36000061,36,0
76,59.36000061,37,0
77,59.18000031,38,0
78,59.18000031,37,0
79,59.18000031,36,0
80,59.18000031,38,0
81,59.18000031,38,0
82,59.18000031,38,0
83,59.18000031,36,0
84,59.18000031,36,0
85,59.18000031,37,0
86,59.18000031,36,0
87,59.18000031,38,0
88,59.18000031,36,0
89,59.18000031,36,0
90,59.18000031,36,0
91,59.18000031,36,0
92,59.18000031,35,0
93,59.18000031,36,0
94,59.18000031,46,0
95,59.18000031,39,0
96,59.36000061,42,0
97,59.36000061,40,0
98,59.36000061,36,0
99,59.36000061,36,0
100,59.36000061,37,0
101,59.18000031,36,0
102,59.18000031,37,0
103,59.18000031,36,0
104,59.54000092,37,0
105,59.18000031,37,0
106,59.18000031,37,0
107,59.18000031,37,0
108,59.36000061,36,0
109,59.36000061,36,0
110,59.18000031,36,0
111,59.18000031,36,0
112,59.18000031,36,0
113,59.18000031,37,0
114,59.18000031,36,0
115,59.18000031,36,0
116,59.18000031,36,0
117,59.18000031,36,0
118,59.18000031,36,0
119,59.36000061,36,0
120,59.36000061,36,0
121,59.36000061,37,0
122,59.36000061,36,0
123,59.36000061,36,0
124,59.36000061,36,0
125,59.36000061,36,0
126,59.36000061,36,0
127,59.54000092,36,0
128,59.54000092,37,0
129,59.54000092,36,0
130,59.54000092,36,0
131,59.54000092,36,0
132,59.54000092,36,0
133,59.54000092,36,0
134,59.18000031,37,0
135,59.18000031,37,0
136,59.36000061,37,0
137,59.36000061,36,0
138,59.36000061,36,0
139,59.36000061,36,0
140,59.36000061,36,0
141,59.36000061,36,0
142,59.36000061,37,0
143,59.36000061,36,0
144,59.72000122,36,0
145,59.54000092,36,0
146,59.72000122,36,0
147,59.54000092,36,0
148,59.36000061,36,0
149,59.36000061,38,0
150,59.36000061,37,0
151,59.36000061,36,0
152,59.36000061,36,0
